ID,Name,Suburb,Address,Cuisine,Phone,Website,EatClub URL,EatClub Slug,Happy Hour,Weekly Specials,Deals,First Table URL,Price Range,Image URLs,Opening Hours,Latitude,Longitude,Created At,Updated At
54,Zaiqah,Dickson,"21 Challis St, Dickson ACT 2602, Australia",,(02) 6112 8118,,https://eatclub.com.au/venue/zaiqah,,,,[object Object],,,https://eccdn.com.au/images/72705433-0C97-4A0F-A9E7-D53E92D0745C/72705433-0C97-4A0F-A9E7-D53E92D0745C_image_1_1762796030273.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/72705433-0C97-4A0F-A9E7-D53E92D0745C/72705433-0C97-4A0F-A9E7-D53E92D0745C_image_4_1762796045371.jpg; https://eccdn.com.au/images/72705433-0C97-4A0F-A9E7-D53E92D0745C/72705433-0C97-4A0F-A9E7-D53E92D0745C_image_0_1762796015191.jpg; https://eccdn.com.au/images/72705433-0C97-4A0F-A9E7-D53E92D0745C/72705433-0C97-4A0F-A9E7-D53E92D0745C_image_3_1762796030273.jpg; https://eccdn.com.au/images/72705433-0C97-4A0F-A9E7-D53E92D0745C/72705433-0C97-4A0F-A9E7-D53E92D0745C_image_2_1762796030273.jpg,"{""friday"":""5:00 – 10:00 PM"",""monday"":""5:00 – 10:00 PM"",""sunday"":""5:00 – 10:00 PM"",""tuesday"":""5:00 – 10:00 PM"",""saturday"":""5:00 – 10:00 PM"",""thursday"":""5:00 – 10:00 PM"",""wednesday"":""5:00 – 10:00 PM""}",-35.2503201,149.1350387,2026-01-07T23:20:51.586Z,2026-01-08T00:57:10.954Z
92,Grease Monkey Braddon,Braddon,"19 Lonsdale St, Braddon ACT 2612, Australia",American,(02) 6174 1401,,https://eatclub.com.au/venue/grease-monkey-braddon,,[object Object],[object Object]; [object Object]; [object Object]; [object Object],[object Object]; [object Object],https://www.firsttable.com.au/restaurant/grease-monkey,$$,https://eccdn.com.au/images/0F92E179-D671-4922-9B1F-E15AE7602487/0F92E179-D671-4922-9B1F-E15AE7602487_image_2_1724848237719.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/0F92E179-D671-4922-9B1F-E15AE7602487/0F92E179-D671-4922-9B1F-E15AE7602487_image_4_1724848237719.jpg; https://eccdn.com.au/images/0F92E179-D671-4922-9B1F-E15AE7602487/0F92E179-D671-4922-9B1F-E15AE7602487_image_3_1724848237719.jpg; https://eccdn.com.au/images/0F92E179-D671-4922-9B1F-E15AE7602487/0F92E179-D671-4922-9B1F-E15AE7602487_image_0_1724848188502.jpg; https://eccdn.com.au/images/0F92E179-D671-4922-9B1F-E15AE7602487/0F92E179-D671-4922-9B1F-E15AE7602487_image_1_1724848237719.jpg,"{""friday"":""11:00 AM – 9:30 PM"",""monday"":""11:00 AM – 9:30 PM"",""sunday"":""11:00 AM – 9:30 PM"",""tuesday"":""11:00 AM – 9:30 PM"",""saturday"":""11:00 AM – 9:30 PM"",""thursday"":""11:00 AM – 9:30 PM"",""wednesday"":""11:00 AM – 9:30 PM""}",-35.2729573,149.1326439,2026-01-07T23:20:53.853Z,2026-01-08T00:57:12.905Z
503,Caffe Cherry Beans - Erindale,Erindale,,,,,https://eatclub.com.au/venue/caffe-cherry-beans-erindale,,,,[object Object]; [object Object],,,https://eccdn.com.au/images/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E_image_2_1764270837339.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E_image_4_1764270894657.jpg; https://eccdn.com.au/images/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E_image_0_1764270837339.jpg; https://eccdn.com.au/images/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E_image_1_1764270837339.jpg; https://eccdn.com.au/images/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E_image_3_1764270869151.jpg,{},,,2026-01-07T23:21:18.525Z,2026-01-08T00:57:14.829Z
529,Masala Magic,Belconnen,,,,,https://eatclub.com.au/venue/masala-magic,,,,[object Object]; [object Object],,,https://eccdn.com.au/images/7E425466-A7D6-4948-BA15-04A4F3E844B3/7E425466-A7D6-4948-BA15-04A4F3E844B3_image_0_1761789233810.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/7E425466-A7D6-4948-BA15-04A4F3E844B3/7E425466-A7D6-4948-BA15-04A4F3E844B3_image_4_1761789305812.jpg; https://eccdn.com.au/images/7E425466-A7D6-4948-BA15-04A4F3E844B3/7E425466-A7D6-4948-BA15-04A4F3E844B3_image_1_1761789305812.jpg; https://eccdn.com.au/images/7E425466-A7D6-4948-BA15-04A4F3E844B3/7E425466-A7D6-4948-BA15-04A4F3E844B3_image_2_1761789305812.jpg; https://eccdn.com.au/images/7E425466-A7D6-4948-BA15-04A4F3E844B3/7E425466-A7D6-4948-BA15-04A4F3E844B3_image_3_1761789305812.jpg,{},,,2026-01-07T23:21:20.093Z,2026-01-08T00:57:16.576Z
582,De Doughnut,Dickson,,,,,https://eatclub.com.au/venue/de-doughnut,,,,[object Object]; [object Object],,,https://eccdn.com.au/images/849E8F0E-D000-4038-BDE5-98BBFD27503A/849E8F0E-D000-4038-BDE5-98BBFD27503A_image_2_1757906051899.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/849E8F0E-D000-4038-BDE5-98BBFD27503A/849E8F0E-D000-4038-BDE5-98BBFD27503A_image_1_1757905974016.jpg; https://eccdn.com.au/images/849E8F0E-D000-4038-BDE5-98BBFD27503A/849E8F0E-D000-4038-BDE5-98BBFD27503A_image_0_1757905974016.jpg; https://eccdn.com.au/images/849E8F0E-D000-4038-BDE5-98BBFD27503A/849E8F0E-D000-4038-BDE5-98BBFD27503A_image_4_1757906086804.jpg; https://eccdn.com.au/images/849E8F0E-D000-4038-BDE5-98BBFD27503A/849E8F0E-D000-4038-BDE5-98BBFD27503A_image_3_1757906051899.jpg,{},,,2026-01-07T23:21:23.265Z,2026-01-08T00:57:21.084Z
671,Zaab,Braddon,"2/9 Lonsdale St, Braddon ACT 2612, Australia",,(02) 6156 5638,,https://eatclub.com.au/venue/zaab,,,,[object Object],,$$,https://eccdn.com.au/images/CBEB1310-FCC6-4166-B4D8-21B1D6DF344A/CBEB1310-FCC6-4166-B4D8-21B1D6DF344A_image_0_1724809213709.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/CBEB1310-FCC6-4166-B4D8-21B1D6DF344A/CBEB1310-FCC6-4166-B4D8-21B1D6DF344A_image_4_1724809234878.jpg; https://eccdn.com.au/images/CBEB1310-FCC6-4166-B4D8-21B1D6DF344A/CBEB1310-FCC6-4166-B4D8-21B1D6DF344A_image_1_1724809213709.jpg; https://eccdn.com.au/images/CBEB1310-FCC6-4166-B4D8-21B1D6DF344A/CBEB1310-FCC6-4166-B4D8-21B1D6DF344A_image_2_1724809213709.jpg; https://eccdn.com.au/images/CBEB1310-FCC6-4166-B4D8-21B1D6DF344A/CBEB1310-FCC6-4166-B4D8-21B1D6DF344A_image_3_1724809213709.jpg,"{""friday"":""12:00 – 3:00 PM, 5:00 – 10:30 PM"",""monday"":""5:00 – 10:00 PM"",""sunday"":""12:00 – 3:00 PM, 5:00 – 9:00 PM"",""tuesday"":""12:00 – 2:30 PM, 5:00 – 10:00 PM"",""saturday"":""12:00 – 3:00 PM, 5:00 – 10:30 PM"",""thursday"":""12:00 – 2:30 PM, 5:00 – 10:00 PM"",""wednesday"":""12:00 – 2:30 PM, 5:00 – 10:00 PM""}",-35.2747161,149.1323201,2026-01-07T23:21:28.792Z,2026-01-08T00:57:24.505Z
743,Thai Esan,Torrens,"Unit 1 & Unit 2/24 Torrens Pl, Torrens ACT 2607, Australia",Thai,0422 104 617,,https://eatclub.com.au/venue/thai-esan,,,,[object Object],,$$,https://eccdn.com.au/images/BA849959-B371-4563-81A3-EFFDD8A19946/BA849959-B371-4563-81A3-EFFDD8A19946_image_4_1764284150033.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/BA849959-B371-4563-81A3-EFFDD8A19946/BA849959-B371-4563-81A3-EFFDD8A19946_image_4_1764274713632.jpg; https://eccdn.com.au/images/BA849959-B371-4563-81A3-EFFDD8A19946/BA849959-B371-4563-81A3-EFFDD8A19946_image_0_1764274182877.jpg; https://eccdn.com.au/images/BA849959-B371-4563-81A3-EFFDD8A19946/BA849959-B371-4563-81A3-EFFDD8A19946_image_1_1764274182877.jpg; https://eccdn.com.au/images/BA849959-B371-4563-81A3-EFFDD8A19946/BA849959-B371-4563-81A3-EFFDD8A19946_image_2_1764274182877.jpg,"{""friday"":""5:00 – 9:30 PM"",""monday"":""5:00 – 9:00 PM"",""sunday"":""5:00 – 9:00 PM"",""tuesday"":""5:00 – 9:00 PM"",""saturday"":""5:00 – 9:30 PM"",""thursday"":""5:00 – 9:00 PM"",""wednesday"":""5:00 – 9:00 PM""}",-35.3732101,149.0875119,2026-01-07T23:21:33.026Z,2026-01-08T00:57:27.550Z
947,BD DINE,Harrison,"82/170 Flemington Rd, Harrison ACT 2914, Australia",,0488 789 441,,https://eatclub.com.au/venue/bd-dine,,,,[object Object],,,https://eccdn.com.au/images/C27A8D5B-F20C-47EE-BBB6-2046786AC983/C27A8D5B-F20C-47EE-BBB6-2046786AC983_image_0_1764131075820.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/C27A8D5B-F20C-47EE-BBB6-2046786AC983/C27A8D5B-F20C-47EE-BBB6-2046786AC983_image_1_1764131075820.jpg; https://eccdn.com.au/images/C27A8D5B-F20C-47EE-BBB6-2046786AC983/C27A8D5B-F20C-47EE-BBB6-2046786AC983_image_2_1764131167236.jpg; https://eccdn.com.au/images/C27A8D5B-F20C-47EE-BBB6-2046786AC983/C27A8D5B-F20C-47EE-BBB6-2046786AC983_image_3_1764131167236.jpg; https://eccdn.com.au/images/C27A8D5B-F20C-47EE-BBB6-2046786AC983/C27A8D5B-F20C-47EE-BBB6-2046786AC983_image_4_1764131167236.jpg,"{""friday"":""12:00 – 10:30 PM"",""monday"":""12:00 – 10:00 PM"",""sunday"":""9:30 AM – 10:00 PM"",""tuesday"":""12:00 – 10:00 PM"",""saturday"":""9:30 AM – 10:30 PM"",""thursday"":""12:00 – 10:00 PM"",""wednesday"":""12:00 – 10:00 PM""}",-35.2006911,149.1499219,2026-01-07T23:21:45.577Z,2026-01-08T00:57:33.327Z
1195,Queenies,Kingston,"26 Giles St, Kingston ACT 2604, Australia",,(02) 6174 4096,,https://eatclub.com.au/venue/queenies,,,,[object Object],,$$,https://eccdn.com.au/images/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2_image_4_1727151592848.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2_image_3_1727151575450.jpg; https://eccdn.com.au/images/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2_image_2_1727151575450.jpg; https://eccdn.com.au/images/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2_image_0_1727151575450.jpg; https://eccdn.com.au/images/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2_image_1_1727151575450.jpg,"{""friday"":""4:00 – 10:00 PM"",""monday"":""4:00 – 10:00 PM"",""sunday"":""4:00 – 10:00 PM"",""tuesday"":""4:00 – 10:00 PM"",""saturday"":""4:00 – 10:00 PM"",""thursday"":""4:00 – 10:00 PM"",""wednesday"":""4:00 – 10:00 PM""}",-35.3160092,149.1401557,2026-01-07T23:22:01.025Z,2026-01-08T00:57:41.007Z
1216,Asian Noodle House Woden,Phillip,"6 Launceston St, Phillip ACT 2606, Australia",Asian,(02) 6281 7001,,https://eatclub.com.au/venue/asian-noodle-house-woden,,,,[object Object]; [object Object],,$,https://eccdn.com.au/images/26466FAC-41F3-4D34-A46D-990430B5389B/26466FAC-41F3-4D34-A46D-990430B5389B_image_0_1762796584285.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/26466FAC-41F3-4D34-A46D-990430B5389B/26466FAC-41F3-4D34-A46D-990430B5389B_image_4_1762796725217.jpg; https://eccdn.com.au/images/26466FAC-41F3-4D34-A46D-990430B5389B/26466FAC-41F3-4D34-A46D-990430B5389B_image_1_1762796614149.jpg; https://eccdn.com.au/images/26466FAC-41F3-4D34-A46D-990430B5389B/26466FAC-41F3-4D34-A46D-990430B5389B_image_2_1762796614149.jpg; https://eccdn.com.au/images/26466FAC-41F3-4D34-A46D-990430B5389B/26466FAC-41F3-4D34-A46D-990430B5389B_image_3_1762796614149.jpg,"{""friday"":""11:00 AM – 9:30 PM"",""monday"":""11:00 AM – 9:30 PM"",""sunday"":""5:00 – 9:00 PM"",""tuesday"":""11:00 AM – 9:30 PM"",""saturday"":""11:00 AM – 9:30 PM"",""thursday"":""11:00 AM – 9:30 PM"",""wednesday"":""11:00 AM – 9:30 PM""}",-35.3404234,149.0843245,2026-01-07T23:22:02.322Z,2026-01-08T00:57:45.698Z
