ID,Name,Suburb,Address,Cuisine,Phone,Website,EatClub URL,First Table URL,Price Range,Business Type,Happy Hour,Weekly Specials,Deals,Opening Hours,Image URLs,Latitude,Longitude,Overall Rating,Status,Created At,Updated At
77,The Alby,Phillip,"Albemarle Building, G05/45 Furzer St, Phillip ACT 2606, Australia",,(02) 5127 6000,https://thealby.com.au/,,,$$,Bar,"{""days"":[""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""],""hours"":""4–6pm"",""description"":""$7 beer/wine""}","[{""day"":""Monday"",""description"":""$18 Burgers""},{""day"":""Tuesday"",""description"":""$20 Schnitty""},{""day"":""Wednesday"",""description"":""$25 Steak""},{""day"":""Thursday"",""description"":""$18 Tacos""}]",[],"{""friday"":""11:00 AM – 11:00 PM"",""monday"":""11:00 AM – 11:00 PM"",""sunday"":""11:00 AM – 11:00 PM"",""tuesday"":""11:00 AM – 11:00 PM"",""saturday"":""11:00 AM – 11:00 PM"",""thursday"":""11:00 AM – 11:00 PM"",""wednesday"":""11:00 AM – 11:00 PM""}",https://thealby.com.au/wp-content/uploads/Alby-pewpewstudio-211115-49-1.jpg,-35.3438209,149.0850701,4.00,active,2026-01-07T23:20:52.965Z,2026-01-07T23:20:52.965Z
123,Marble and Grain,Braddon,"25 Mort St, Braddon ACT 2612, Australia",,,http://www.marbleandgrain.com.au/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=Google%20My%20Business,,,$$$,Restaurant,{},[],"[{""title"":""Late Night Discount"",""source"":""Facebook"",""validUntil"":null,""description"":""We’re offering 20% off all food after 8pm! Whether it’s a midweek date night or a spontaneous dinner with friends, join us Sunday to Thursday after 8pm and treat yourself to something special - you deserve it.""}]",{},,-35.2749198,149.1308193,4.20,active,2026-01-07T23:20:55.665Z,2026-01-08T09:47:18.245Z
576,Fricken,Braddon,"58/10 Lonsdale St, Braddon ACT 2612, Australia",,0452 583 745,http://fricken.au/,https://eatclub.com.au/venue/fricken-braddon,,$$,Restaurant,{},[],"[{""title"":""Today30% Offfri25% Offsat30% Offsun30% Offmon30% Offtue30% OffwedNone"",""source"":""EatClub"",""validUntil"":null,""description"":""Today30% Offfri25% Offsat30% Offsun30% Offmon30% Offtue30% OffwedNone""}]","{""friday"":""11:30 AM – 2:30 PM, 5:00 – 9:30 PM"",""monday"":""11:30 AM – 2:30 PM, 5:00 – 9:00 PM"",""sunday"":""11:30 AM – 9:00 PM"",""tuesday"":""11:30 AM – 2:30 PM, 5:00 – 9:00 PM"",""saturday"":""11:30 AM – 9:00 PM"",""thursday"":""11:30 AM – 2:30 PM, 5:00 – 9:00 PM"",""wednesday"":""11:30 AM – 2:30 PM, 5:00 – 9:00 PM""}","""https://static.wixstatic.com/media/9e8940_93c2608e0e6b4e32b2dfb6ff948aad94%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/9e8940_93c2608e0e6b4e32b2dfb6ff948aad94%7Emv2.jpg""; https://eccdn.com.au/images/021C4CE4-B048-4690-A761-87AE8EBF4E9A/021C4CE4-B048-4690-A761-87AE8EBF4E9A_image_2_1729124223280.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/021C4CE4-B048-4690-A761-87AE8EBF4E9A/021C4CE4-B048-4690-A761-87AE8EBF4E9A_image_4_1729124235048.jpg; https://eccdn.com.au/images/021C4CE4-B048-4690-A761-87AE8EBF4E9A/021C4CE4-B048-4690-A761-87AE8EBF4E9A_image_0_1729124223280.jpg; https://eccdn.com.au/images/021C4CE4-B048-4690-A761-87AE8EBF4E9A/021C4CE4-B048-4690-A761-87AE8EBF4E9A_image_1_1729124223280.jpg; https://eccdn.com.au/images/021C4CE4-B048-4690-A761-87AE8EBF4E9A/021C4CE4-B048-4690-A761-87AE8EBF4E9A_image_3_1729124223280.jpg",-35.2745136,149.1328465,4.40,active,2026-01-07T23:21:22.920Z,2026-01-08T03:39:53.961Z
1257,Biang Biang,Canberra,"Shop EG01B/148 Bunda St, Canberra ACT 2601, Australia",,0482 038 935,,https://eatclub.com.au/venue/biang-biang-canberra-centre,,,Restaurant,{},[],"[{""title"":""Today30% Offfri30% OffsatClosedsunClosedmon30% Offtue30% Offwed30% Off"",""source"":""EatClub"",""validUntil"":null,""description"":""Today30% Offfri30% OffsatClosedsunClosedmon30% Offtue30% Offwed30% Off""}]","{""friday"":""11:30 AM – 9:00 PM"",""monday"":""11:30 AM – 8:30 PM"",""sunday"":""11:30 AM – 8:30 PM"",""tuesday"":""11:30 AM – 8:30 PM"",""saturday"":""11:30 AM – 8:30 PM"",""thursday"":""11:30 AM – 8:30 PM"",""wednesday"":""11:30 AM – 8:30 PM""}",https://eccdn.com.au/images/8F992B43-7D44-484A-9452-82045E91CA8D/8F992B43-7D44-484A-9452-82045E91CA8D_image_0_1762482805823.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/8F992B43-7D44-484A-9452-82045E91CA8D/8F992B43-7D44-484A-9452-82045E91CA8D_image_4_1762483019985.jpg; https://eccdn.com.au/images/8F992B43-7D44-484A-9452-82045E91CA8D/8F992B43-7D44-484A-9452-82045E91CA8D_image_1_1762482889716.jpg; https://eccdn.com.au/images/8F992B43-7D44-484A-9452-82045E91CA8D/8F992B43-7D44-484A-9452-82045E91CA8D_image_2_1762482889716.jpg; https://eccdn.com.au/images/8F992B43-7D44-484A-9452-82045E91CA8D/8F992B43-7D44-484A-9452-82045E91CA8D_image_3_1762482982445.jpg,-35.2788677,149.1333164,4.10,active,2026-01-07T23:22:04.954Z,2026-01-08T03:39:56.689Z
259,Canberra Irish Club,Weston,"6 Parkinson St, Weston ACT 2611, Australia",European,(02) 6288 5088,http://www.irishclub.com.au/,,,,Bar,{},"[{""day"":""Tuesday"",""description"":""Schnitzel Night""},{""day"":""Wednesday"",""description"":""Steak Night""},{""day"":""Sunday"",""description"":""Roast Night""},{""day"":""Thursday"",""description"":""Pasta Night""}]",[],"{""friday"":""11:30 AM – 10:00 PM"",""monday"":""11:30 AM – 9:00 PM"",""sunday"":""11:30 AM – 9:00 PM"",""tuesday"":""11:30 AM – 9:00 PM"",""saturday"":""11:30 AM – 10:00 PM"",""thursday"":""11:30 AM – 9:00 PM"",""wednesday"":""11:30 AM – 9:00 PM""}",https://www.irishclub.com.au//i/cover-image.jpg,-35.3431656,149.0562183,4.30,active,2026-01-07T23:21:03.904Z,2026-01-07T23:21:03.904Z
582,De Doughnut,Dickson,,,,,https://eatclub.com.au/venue/de-doughnut,,,,{},[],"[{""title"":""EatClub Deal Available"",""source"":""EatClub"",""description"":""Check out our EatClub deals!""}]",{},https://eccdn.com.au/images/849E8F0E-D000-4038-BDE5-98BBFD27503A/849E8F0E-D000-4038-BDE5-98BBFD27503A_image_2_1757906051899.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/849E8F0E-D000-4038-BDE5-98BBFD27503A/849E8F0E-D000-4038-BDE5-98BBFD27503A_image_1_1757905974016.jpg; https://eccdn.com.au/images/849E8F0E-D000-4038-BDE5-98BBFD27503A/849E8F0E-D000-4038-BDE5-98BBFD27503A_image_0_1757905974016.jpg; https://eccdn.com.au/images/849E8F0E-D000-4038-BDE5-98BBFD27503A/849E8F0E-D000-4038-BDE5-98BBFD27503A_image_4_1757906086804.jpg; https://eccdn.com.au/images/849E8F0E-D000-4038-BDE5-98BBFD27503A/849E8F0E-D000-4038-BDE5-98BBFD27503A_image_3_1757906051899.jpg,,,,active,2026-01-07T23:21:23.265Z,2026-01-08T23:33:09.970Z
275,Gold Creek Cafe,Nicholls,"Federation Square 2, Shop 2/26 O'Hanlon Pl, Nicholls ACT 2913, Australia",Cafe,0474 254 033,https://www.facebook.com/goldcreekvillage/,,,$$,Cafe,"{""days"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""],""hours"":""early evening"",""description"":""British pub-style deals""}","[{""day"":""Thursday"",""description"":""$20 Curry Night""}]",[],"{""friday"":""8:00 AM – 4:00 PM"",""monday"":""8:00 AM – 4:00 PM"",""sunday"":""8:00 AM – 4:00 PM"",""tuesday"":""8:00 AM – 4:00 PM"",""saturday"":""8:00 AM – 4:00 PM"",""thursday"":""8:00 AM – 4:00 PM"",""wednesday"":""8:00 AM – 4:00 PM""}",,-35.1900873,149.0839821,4.30,active,2026-01-07T23:21:04.856Z,2026-01-08T00:52:39.238Z
1011,The Dock,Kingston,"7/81 Giles St, Kingston ACT 2604, Australia",,(02) 6239 6333,http://thedockkingston.com.au/,https://eatclub.com.au/venue/the-dock-kingston,https://www.firsttable.com.au/canberra/kingston/the-dock,$$,Bar,"{""days"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""],""hours"":""4–6pm"",""description"":""$7 schooners""}","[{""day"":""Wednesday"",""description"":""$20 Steak""},{""day"":""Thursday"",""description"":""$18 Wings""},{""day"":""Sunday"",""description"":""$28 Roast""}]","[{""title"":""Today25% Offfri25% Offsat25% Offsun25% OffmonClosedtue25% Offwed25% Off"",""source"":""EatClub"",""validUntil"":null,""description"":""Today25% Offfri25% Offsat25% Offsun25% OffmonClosedtue25% Offwed25% Off""}]","{""friday"":""11:30 AM – 12:00 AM"",""monday"":""CLOSED"",""sunday"":""11:30 AM – 12:00 AM"",""tuesday"":""4:00 – 10:00 PM"",""saturday"":""11:30 AM – 12:00 AM"",""thursday"":""11:30 AM – 12:00 AM"",""wednesday"":""11:30 AM – 12:00 AM""}",https://eccdn.com.au/images/C59C32E6-931C-4A57-BEEB-6BE90816DA29/C59C32E6-931C-4A57-BEEB-6BE90816DA29_image_4_1763097919284.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/C59C32E6-931C-4A57-BEEB-6BE90816DA29/C59C32E6-931C-4A57-BEEB-6BE90816DA29_image_4_1764207696632.jpg; https://eccdn.com.au/images/C59C32E6-931C-4A57-BEEB-6BE90816DA29/C59C32E6-931C-4A57-BEEB-6BE90816DA29_image_4_1763089360421.jpg; https://eccdn.com.au/images/C59C32E6-931C-4A57-BEEB-6BE90816DA29/C59C32E6-931C-4A57-BEEB-6BE90816DA29_image_4_1763097956256.jpg; https://eccdn.com.au/images/C59C32E6-931C-4A57-BEEB-6BE90816DA29/C59C32E6-931C-4A57-BEEB-6BE90816DA29_image_4_1764207364755.jpg,-35.3125746,149.1466744,4.30,active,2026-01-07T23:21:49.418Z,2026-01-08T03:40:42.673Z
1307,WHITE CHACO,Braddon,"g10/27 Lonsdale St, Braddon ACT 2612, Australia",,0401 509 435,https://whitechaco.com.au/,https://eatclub.com.au/venue/white-chaco,,$$,Restaurant,{},[],"[{""title"":""Today25% Offfri25% Offsat25% Offsun25% Offmon25% OfftueClosedwed25% Off"",""source"":""EatClub"",""validUntil"":null,""description"":""Today25% Offfri25% Offsat25% Offsun25% Offmon25% OfftueClosedwed25% Off""}]","{""friday"":""12:00 – 2:00 PM, 5:30 – 9:00 PM"",""monday"":""5:30 – 9:00 PM"",""sunday"":""12:00 – 2:00 PM, 5:30 – 9:00 PM"",""tuesday"":""5:30 – 9:00 PM"",""saturday"":""5:30 PM – 12:30 AM"",""thursday"":""12:00 – 2:00 PM, 5:30 – 9:00 PM"",""wednesday"":""5:30 – 9:00 PM""}",https://eccdn.com.au/images/68B6BE03-E947-4752-9B92-799CAEE786C1/68B6BE03-E947-4752-9B92-799CAEE786C1_image_0_1727246406346.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/68B6BE03-E947-4752-9B92-799CAEE786C1/68B6BE03-E947-4752-9B92-799CAEE786C1_image_4_1727743302525.jpg; https://eccdn.com.au/images/68B6BE03-E947-4752-9B92-799CAEE786C1/68B6BE03-E947-4752-9B92-799CAEE786C1_image_4_1727742744957.jpg; https://eccdn.com.au/images/68B6BE03-E947-4752-9B92-799CAEE786C1/68B6BE03-E947-4752-9B92-799CAEE786C1_image_2_1727246406346.jpg; https://eccdn.com.au/images/68B6BE03-E947-4752-9B92-799CAEE786C1/68B6BE03-E947-4752-9B92-799CAEE786C1_image_4_1727742880958.jpg,-35.2719619,149.1326108,4.60,active,2026-01-07T23:22:08.223Z,2026-01-08T23:33:10.929Z
54,Zaiqah,Dickson,"21 Challis St, Dickson ACT 2602, Australia",,(02) 6112 8118,http://zaiqah.com.au/,https://eatclub.com.au/venue/zaiqah,,,Restaurant,{},[],"[{""title"":""Today30% Offfri30% Offsat30% Offsun30% Offmon30% Offtue30% Offwed30% Off"",""source"":""EatClub"",""validUntil"":null,""description"":""Today30% Offfri30% Offsat30% Offsun30% Offmon30% Offtue30% Offwed30% Off""}]","{""friday"":""5:00 – 10:00 PM"",""monday"":""5:00 – 10:00 PM"",""sunday"":""5:00 – 10:00 PM"",""tuesday"":""5:00 – 10:00 PM"",""saturday"":""5:00 – 10:00 PM"",""thursday"":""5:00 – 10:00 PM"",""wednesday"":""5:00 – 10:00 PM""}",https://eccdn.com.au/images/72705433-0C97-4A0F-A9E7-D53E92D0745C/72705433-0C97-4A0F-A9E7-D53E92D0745C_image_1_1762796030273.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/72705433-0C97-4A0F-A9E7-D53E92D0745C/72705433-0C97-4A0F-A9E7-D53E92D0745C_image_4_1762796045371.jpg; https://eccdn.com.au/images/72705433-0C97-4A0F-A9E7-D53E92D0745C/72705433-0C97-4A0F-A9E7-D53E92D0745C_image_0_1762796015191.jpg; https://eccdn.com.au/images/72705433-0C97-4A0F-A9E7-D53E92D0745C/72705433-0C97-4A0F-A9E7-D53E92D0745C_image_3_1762796030273.jpg; https://eccdn.com.au/images/72705433-0C97-4A0F-A9E7-D53E92D0745C/72705433-0C97-4A0F-A9E7-D53E92D0745C_image_2_1762796030273.jpg,-35.2503201,149.1350387,4.40,active,2026-01-07T23:20:51.586Z,2026-01-08T23:33:09.547Z
