Restaurant Name,Deal Title,Description,Days,Hours,Suburb,Address,Price,Updated,Website
The RUC,Weekly Lunch Specials,"Chicken schnitty, fish 'n' chips, Caesar salad or beef burger",Monday to Friday,12pm to 2pm,Turner,54 McCaughey St Turner ACT 2616,$15,Updated January 2026,
The RUC,Weekday Happy Hour,"12 taps for $5 each - VB, Carlton Draught, Carlton Dry, XXXX, Great Northern, Stone & Wood Pacific Ale, Kosciusko 4 Pines Pacific Ale, Balter XPA, Brookvale Union Ginger Beer and Somersby Apple Cider",Monday to Friday,4pm to 5pm,Turner,54 McCaughey St Turner ACT 2616,$5,Updated January 2026,
The RUC,Basic Spirits Happy Hour,"$4.90 basic spirits including Smirnoff, Gordons, Jim Beam, Johnny Walker Red, Bundy and Spiced Rum",Daily,8pm to 9pm,Turner,54 McCaughey St Turner ACT 2616,$4.90,Updated January 2026,
The RUC,Premix Happy Hour,"$6 premix schooners on tap including Hard Rated Alcoholic Lemon, Hard Rated Alcoholic Orange, Brookvale Union Vodka Premix Range, Brookvale Union Alcoholic Ginger Beer and Somersby Apple Cider",Daily,8pm to 9pm,Turner,54 McCaughey St Turner ACT 2616,$6,Updated January 2026,
The RUC,Monday Steak Night,"Rump steak, chips and salad",Monday,5pm to close,Turner,54 McCaughey St Turner ACT 2616,$18,Updated January 2026,
The RUC,Tuesday Schnitzel Special,"Chicken schnitzel, chips and salad",Tuesday,5pm to close,Turner,54 McCaughey St Turner ACT 2616,$18,Updated January 2026,
The RUC,Wednesday Burger Special,"$18 burgers including RUC burger, chicken burger, or vego mushroom burger",Wednesday,5pm to close,Turner,54 McCaughey St Turner ACT 2616,$18,Updated January 2026,
The RUC,Thursday Uni Night,"$18 dinner - choose between chicken schnitty, fish 'n' chips, Caesar salad or beef burger. Members only, restricted menu",Thursday,8pm to 9pm,Turner,54 McCaughey St Turner ACT 2616,$18,Updated January 2026,
The RUC,Friday Live Music,"Live music from 8pm. Also $5 schooners of Capital Coast Ale from 4pm",Friday,4pm to close,Turner,54 McCaughey St Turner ACT 2616,$5,Updated January 2026,
The RUC,Sunday BBB Special,"$30 Bowls, Burgers, Beers or Bubbles",Sunday,All day,Turner,54 McCaughey St Turner ACT 2616,$30,Updated January 2026,
